year,period,periodName,Unemployment_Rate,Location
2026,M06,June,4.1,Kansas
2026,M05,May,3.7,Kansas
2026,M04,April,3.3,Kansas
2026,M03,March,3.8,Kansas
2026,M02,February,4.3,Kansas
2026,M01,January,4.2,Kansas
2025,M12,December,3.4,Kansas
2025,M11,November,3.4,Kansas
2025,M10,October,NA,Kansas
2025,M09,September,3.6,Kansas
2025,M08,August,4.2,Kansas
2025,M07,July,4.3,Kansas
2025,M06,June,4,Kansas
2025,M05,May,3.6,Kansas
2025,M04,April,3.5,Kansas
2025,M03,March,3.8,Kansas
2025,M02,February,4,Kansas
2025,M01,January,3.8,Kansas
2024,M12,December,3.3,Kansas
2024,M11,November,3.4,Kansas
2024,M10,October,3.6,Kansas
2024,M09,September,3.4,Kansas
2024,M08,August,4.1,Kansas
2024,M07,July,4.3,Kansas
2024,M06,June,3.9,Kansas
2024,M05,May,3.3,Kansas
2024,M04,April,3.1,Kansas
2024,M03,March,3.3,Kansas
2024,M02,February,3.5,Kansas
2024,M01,January,3.1,Kansas
2023,M12,December,2.5,Kansas
2023,M11,November,2.3,Kansas
2023,M10,October,3,Kansas
2023,M09,September,2.7,Kansas
2023,M08,August,3.3,Kansas
2023,M07,July,3.2,Kansas
2023,M06,June,3.1,Kansas
2023,M05,May,2.7,Kansas
2023,M04,April,2.6,Kansas
2023,M03,March,3,Kansas
2023,M02,February,3.3,Kansas
2023,M01,January,3,Kansas
2022,M12,December,2.6,Kansas
2022,M11,November,2.5,Kansas
2022,M10,October,2.9,Kansas
2022,M09,September,2.6,Kansas
2022,M08,August,3.3,Kansas
2022,M07,July,3.4,Kansas
2022,M06,June,3,Kansas
2022,M05,May,2.5,Kansas
2022,M04,April,2.3,Kansas
2022,M03,March,2.7,Kansas
2022,M02,February,2.9,Kansas
2022,M01,January,2.8,Kansas
2021,M12,December,2.1,Kansas
2021,M11,November,2.2,Kansas
2021,M10,October,2.8,Kansas
2021,M09,September,2.9,Kansas
2021,M08,August,3.7,Kansas
2021,M07,July,4.2,Kansas
2021,M06,June,4.1,Kansas
2021,M05,May,3.5,Kansas
2021,M04,April,3.5,Kansas
2021,M03,March,3.8,Kansas
2021,M02,February,4.1,Kansas
2021,M01,January,4.3,Kansas
2020,M12,December,4.1,Kansas
2020,M11,November,4.2,Kansas
2020,M10,October,4.6,Kansas
2020,M09,September,5.3,Kansas
2020,M08,August,5.9,Kansas
2020,M07,July,7.3,Kansas
2020,M06,June,7.5,Kansas
2020,M05,May,9.3,Kansas
2020,M04,April,11.8,Kansas
2020,M03,March,3.6,Kansas
2020,M02,February,3.2,Kansas
2020,M01,January,3.2,Kansas
2019,M12,December,2.7,Kansas
2019,M11,November,2.7,Kansas
2019,M10,October,2.9,Kansas
2019,M09,September,2.8,Kansas
2019,M08,August,3.4,Kansas
2019,M07,July,3.8,Kansas
2019,M06,June,3.3,Kansas
2019,M05,May,3,Kansas
2019,M04,April,2.8,Kansas
2019,M03,March,3.4,Kansas
2019,M02,February,3.5,Kansas
2019,M01,January,3.7,Kansas
